,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,3.0,0.002573941999997942,"[0, 0, 0, 1, 1]",150,0.4,512
1,1,0.0,0.013988389000019197,"[1, 0, 0, 1, 0]",150,0.4,512
2,2,0.0,0.025565308000011555,"[1, 0, 0, 1, 0]",150,0.4,512
3,4,0.0,0.046537074000013945,"[1, 0, 0, 1, 0]",150,0.4,512
4,8,0.0,0.08374079000000734,"[1, 0, 0, 1, 0]",150,0.4,512
5,16,0.0,0.15366594900001473,"[1, 0, 0, 1, 0]",150,0.4,512
6,32,0.0,0.2930111640000064,"[1, 0, 0, 1, 0]",150,0.4,512
7,64,0.0,0.5736891550000109,"[1, 0, 0, 1, 0]",150,0.4,512
8,128,0.0,1.1293825690000006,"[1, 0, 0, 1, 0]",150,0.4,512
9,256,0.0,2.2099095350000084,"[1, 0, 0, 1, 0]",150,0.4,512
10,512,0.0,4.406466123000001,"[1, 0, 0, 1, 0]",150,0.4,512
11,0,4.0,0.0021757450000166045,"[1, 1, 0, 1, 1]",150,0.5,512
12,1,0.0,0.010919558000011875,"[0, 1, 1, 0, 1]",150,0.5,512
13,2,0.0,0.026105959000005896,"[0, 1, 1, 0, 1]",150,0.5,512
14,4,0.0,0.049580218000016885,"[0, 1, 1, 0, 1]",150,0.5,512
15,8,0.0,0.09086252299999842,"[0, 1, 1, 0, 1]",150,0.5,512
16,16,0.0,0.16725037000000498,"[0, 1, 1, 0, 1]",150,0.5,512
17,32,0.0,0.31344345499999804,"[0, 1, 1, 0, 1]",150,0.5,512
18,64,0.0,0.5973205650000182,"[0, 1, 1, 0, 1]",150,0.5,512
19,128,0.0,1.2003589180000063,"[0, 1, 1, 0, 1]",150,0.5,512
20,256,0.0,2.3061836589999984,"[0, 1, 1, 0, 1]",150,0.5,512
21,512,0.0,4.494043425000001,"[0, 1, 1, 0, 1]",150,0.5,512
22,0,3.0,0.002101612999979352,"[0, 0, 1, 1, 0]",150,0.6,512
23,1,0.0,0.010637828999989551,"[1, 0, 0, 1, 0]",150,0.6,512
24,2,0.0,0.028455554999993637,"[1, 0, 0, 1, 0]",150,0.6,512
25,4,0.0,0.05527931799997532,"[1, 0, 0, 1, 0]",150,0.6,512
26,8,0.0,0.10938595399997553,"[1, 0, 0, 1, 0]",150,0.6,512
27,16,0.0,0.1971283059999962,"[1, 0, 0, 1, 0]",150,0.6,512
28,32,0.0,0.348677146,"[1, 0, 0, 1, 0]",150,0.6,512
29,64,0.0,0.633353833000001,"[1, 0, 0, 1, 0]",150,0.6,512
30,128,0.0,1.194216339999997,"[1, 0, 0, 1, 0]",150,0.6,512
31,256,0.0,2.304386445999995,"[1, 0, 0, 1, 0]",150,0.6,512
32,512,0.0,4.578128322999987,"[1, 0, 0, 1, 0]",150,0.6,512
33,0,0.0,0.003171542000018235,"[1, 0, 0, 1, 0]",200,0.4,512
34,1,0.0,0.014712928000022885,"[1, 0, 0, 1, 0]",200,0.4,512
35,2,0.0,0.038650207000017645,"[1, 0, 0, 1, 0]",200,0.4,512
36,4,0.0,0.07463875300001632,"[1, 0, 0, 1, 0]",200,0.4,512
37,8,0.0,0.13264634600000136,"[1, 0, 0, 1, 0]",200,0.4,512
38,16,0.0,0.2339861260000191,"[1, 0, 0, 1, 0]",200,0.4,512
39,32,0.0,0.4341184769999984,"[1, 0, 0, 1, 0]",200,0.4,512
40,64,0.0,0.8170964470000115,"[1, 0, 0, 1, 0]",200,0.4,512
41,128,0.0,1.550925202000002,"[1, 0, 0, 1, 0]",200,0.4,512
42,256,0.0,3.015892942000022,"[1, 0, 0, 1, 0]",200,0.4,512
43,512,0.0,5.972295590000016,"[1, 0, 0, 1, 0]",200,0.4,512
44,0,3.0,0.0029700350000041453,"[0, 1, 0, 1, 1]",200,0.5,512
45,1,0.0,0.01531762299998718,"[0, 1, 1, 0, 1]",200,0.5,512
46,2,0.0,0.04305324800000676,"[0, 1, 1, 0, 1]",200,0.5,512
47,4,0.0,0.0802732610000021,"[0, 1, 1, 0, 1]",200,0.5,512
48,8,0.0,0.14037343399999713,"[0, 1, 1, 0, 1]",200,0.5,512
49,16,0.0,0.24284263699999542,"[0, 1, 1, 0, 1]",200,0.5,512
50,32,0.0,0.4365107380000097,"[0, 1, 1, 0, 1]",200,0.5,512
51,64,0.0,0.8071951969999986,"[0, 1, 1, 0, 1]",200,0.5,512
52,128,0.0,1.538162132999986,"[0, 1, 1, 0, 1]",200,0.5,512
53,256,0.0,3.0080678710000086,"[0, 1, 1, 0, 1]",200,0.5,512
54,512,0.0,5.93309050900001,"[0, 1, 1, 0, 1]",200,0.5,512
55,0,3.0,0.003421367000015607,"[0, 0, 0, 1, 0]",200,0.6,512
56,1,0.0,0.015723452000003135,"[1, 0, 0, 1, 0]",200,0.6,512
57,2,0.0,0.045184543999994276,"[1, 0, 0, 1, 0]",200,0.6,512
58,4,0.0,0.08743464600001971,"[1, 0, 0, 1, 0]",200,0.6,512
59,8,0.0,0.15106349200002,"[1, 0, 0, 1, 0]",200,0.6,512
60,16,0.0,0.2592648990000157,"[1, 0, 0, 1, 0]",200,0.6,512
61,32,0.0,0.4589709619999951,"[1, 0, 0, 1, 0]",200,0.6,512
62,64,0.0,0.836365485000016,"[1, 0, 0, 1, 0]",200,0.6,512
63,128,0.0,1.613663704000004,"[1, 0, 0, 1, 0]",200,0.6,512
64,256,0.0,3.0902019170000017,"[1, 0, 0, 1, 0]",200,0.6,512
65,512,0.0,6.095703837000002,"[1, 0, 0, 1, 0]",200,0.6,512
66,0,2.0,0.004598151000010375,"[1, 0, 1, 1, 0]",300,0.4,512
67,1,0.0,0.022682427000006555,"[0, 1, 1, 0, 1]",300,0.4,512
68,2,0.0,0.06280686600001673,"[0, 1, 1, 0, 1]",300,0.4,512
69,4,0.0,0.11792306800001029,"[0, 1, 1, 0, 1]",300,0.4,512
70,8,0.0,0.2066562939999983,"[0, 1, 1, 0, 1]",300,0.4,512
71,16,0.0,0.36269022499999437,"[0, 1, 1, 0, 1]",300,0.4,512
72,32,0.0,0.6701232789999949,"[0, 1, 1, 0, 1]",300,0.4,512
73,64,0.0,1.232249521,"[0, 1, 1, 0, 1]",300,0.4,512
74,128,0.0,2.340761697000005,"[0, 1, 1, 0, 1]",300,0.4,512
75,256,0.0,4.618370356000014,"[0, 1, 1, 0, 1]",300,0.4,512
76,512,0.0,9.079297794000013,"[0, 1, 1, 0, 1]",300,0.4,512
77,0,2.0,0.004141376000006858,"[0, 0, 1, 0, 1]",300,0.5,512
78,1,0.0,0.021020844000020134,"[1, 0, 0, 1, 0]",300,0.5,512
79,2,0.0,0.062239602000005334,"[1, 0, 0, 1, 0]",300,0.5,512
80,4,0.0,0.11997463700001276,"[1, 0, 0, 1, 0]",300,0.5,512
81,8,0.0,0.21163604100001976,"[1, 0, 0, 1, 0]",300,0.5,512
82,16,0.0,0.374029059999998,"[1, 0, 0, 1, 0]",300,0.5,512
83,32,0.0,0.678008884999997,"[1, 0, 0, 1, 0]",300,0.5,512
84,64,0.0,1.255614976000004,"[1, 0, 0, 1, 0]",300,0.5,512
85,128,0.0,2.37990136800002,"[1, 0, 0, 1, 0]",300,0.5,512
86,256,0.0,4.633498730000014,"[1, 0, 0, 1, 0]",300,0.5,512
87,512,0.0,9.175070505000008,"[1, 0, 0, 1, 0]",300,0.5,512
88,0,3.0,0.004798979000014469,"[1, 0, 0, 0, 1]",300,0.6,512
89,1,0.0,0.02391402000000653,"[0, 1, 1, 0, 1]",300,0.6,512
90,2,0.0,0.07081119400001512,"[0, 1, 1, 0, 1]",300,0.6,512
91,4,0.0,0.13248170400001413,"[0, 1, 1, 0, 1]",300,0.6,512
92,8,0.0,0.22837438600001292,"[0, 1, 1, 0, 1]",300,0.6,512
93,16,0.0,0.3957974360000094,"[0, 1, 1, 0, 1]",300,0.6,512
94,32,0.0,0.7047845330000087,"[0, 1, 1, 0, 1]",300,0.6,512
95,64,0.0,1.2960304200000223,"[0, 1, 1, 0, 1]",300,0.6,512
96,128,0.0,2.491174480000012,"[0, 1, 1, 0, 1]",300,0.6,512
97,256,0.0,4.746042048000021,"[0, 1, 1, 0, 1]",300,0.6,512
98,512,0.0,9.353093931000018,"[0, 1, 1, 0, 1]",300,0.6,512
